TIME;POSITION;WEIGHT;SPEED
28,6764133;0,013430989;0,002186094;0
28,70023727;0,013430989;0,086940345;0
28,7230587;0,013710937;-0,126277837;-0,026077678
28,7471993;0,013997396;0,815380865;0,026077678
28,77228665;0,013430989;0,147351202;0,078233028
28,79581952;0,013430989;0,136347091;0
28,819911;0,013430989;0,219002286;0
28,8434217;0,013365885;-0,008068849;0
28,86803818;0,014088541;0,149366668;-0,052155353
28,89105248;0,013430989;0,114270499;0,078233028
28,91590738;0,013430989;0,03552787;0
28,93874955;0,013430989;0,151257545;0
28,96422267;0,013333334;-0,265235925;0
28,98897886;0,014095052;0,644943112;-0,078233028
29,01397943;0,013430989;0,103769457;0,078233028
29,03175735;0,013430989;0,186322533;0
29,05029988;0,014095052;0,741522861;-0,078233028
29,06949115;0,013430989;0,19595468;0
29,08828735;0,013365885;0,074652381;0
29,10850692;0,014121094;0,5640935;-0,078233028
29,13104391;0,0140625;0,311118758;0
29,15121245;0,0140625;0,217950645;0
29,16897106;0,014479167;-0,011701896;-0,078233028
29,22804117;0,014479167;0,302433604;0
29,24555731;0,013828125;-0,163814682;0,052155349
29,26324248;0,013971354;-0,313918152;-0,052155353
29,26875901;0,013847657;0,103110968;0
29,28943658;0,013847657;0,279285818;0
29,31103468;0,013847657;0,264852047;0
29,33622265;0,013847657;0,211596975;0
29,35851932;0,013847657;0,358283928;0
29,38325024;0,013847657;0,21354214;0
29,40604043;0,013847657;0,300496271;0
29,43118334;0,013847657;0,268978867;0,078233028
29,45543265;0,014570313;0,77924872;0
29,48078775;0,014479167;0,445960996;0
29,50331235;0,014479167;0,352175519;0
29,52822137;0,014895833;0,511975712;0
29,55270457;0,0153125;0,522003257;0
29,57536292;0,0153125;0,564183676;0
29,60090423;0,0153125;0,522708464;0
29,62321234;0,015546875;0,81491003;0
29,64908934;0,015729167;0,689242959;0
29,67269111;0,016562499;0,713053036;0
29,69719791;0,017128907;1,083219123;0,026077675
29,72241664;0,018255208;1,349713969;0,026077675
29,74531937;0,019088542;1,312503791;0
29,76844144;0,0190625;1,253615355;0
29,7910521;0,0190625;1,194059265;0
29,81401134;0,0190625;1,364854074;0
29,83721232;0,0190625;1,341770017;0,026077675
29,85998726;0,018847656;1,608714509;0,078233028
